"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.596003770E0,3.489899826E1,1.225000024E0,1.195199966E1,3.690922650E1
2.606009924E0,3.727399826E1,1.149000049E0,1.225800037E1,3.925467769E1
2.616266462E0,3.987900162E1,1.187000036E0,1.183699989E1,4.161560171E1
2.626000539E0,4.236899948E1,1.149000049E0,1.087899971E1,4.375848435E1
2.636886924E0,4.413100052E1,7.659999728E-1,1.007499981E1,4.527292330E1
2.645996693E0,4.489699936E1,7.599999756E-2,1.003600025E1,4.600508264E1
2.655992924E0,4.520399857E1,-1.034000039E0,1.080300045E1,4.648844438E1
2.665995462E0,4.531900024E1,-2.565999985E0,1.195199966E1,4.693875195E1
2.676068462E0,4.554800034E1,-4.289999962E0,1.302400017E1,4.756731036E1
2.685989847E0,4.585499954E1,-6.091000080E0,1.333100033E1,4.814038673E1
2.695991616E0,4.604600143E1,-7.853000164E0,1.268000031E1,4.840130440E1
2.706724154E0,4.558700180E1,-9.652999878E0,1.156900024E1,4.801246616E1
2.715993308E0,4.409299850E1,-1.145400047E1,1.068799973E1,4.679337541E1
2.725989154E0,4.194699860E1,-1.325399971E1,9.960000038E0,4.510455410E1
2.735991308E0,3.941899872E1,-1.482499981E1,9.500000000E0,4.317277011E1
2.746001462E0,3.673699951E1,-1.620400047E1,9.154999733E0,4.118240868E1
2.755995077E0,3.397900009E1,-1.723800087E1,8.581000328E0,3.905578943E1
2.766010924E0,3.118300056E1,-1.800499916E1,7.814000130E0,3.684586974E1
2.775990000E0,2.823299980E1,-1.842600060E1,7.047999859E0,3.444262008E1
2.786003000E0,2.532099915E1,-1.850300026E1,6.243999958E0,3.197657818E1
2.796020077E0,2.240999985E1,-1.838800049E1,5.362999916E0,2.948030568E1
2.806027077E0,1.942200089E1,-1.800499916E1,4.940999985E0,2.694081651E1
2.816057924E0,1.647200012E1,-1.754500008E1,4.826000214E0,2.454473658E1
2.826006154E0,1.386699963E1,-1.689399910E1,4.710999966E0,2.235831847E1
2.835987154E0,1.179899979E1,-1.601199913E1,4.597000122E0,2.041403738E1
2.846825308E0,1.026599979E1,-1.501599979E1,4.558000088E0,1.875223630E1
2.856296462E0,9.079000473E0,-1.402000046E1,4.442999840E0,1.728377592E1
2.865988154E0,8.236000061E0,-1.302400017E1,4.289999962E0,1.599563619E1
2.875994077E0,7.507999897E0,-1.210499954E1,4.251999855E0,1.486541554E1
2.885998770E0,7.010000229E0,-1.126200008E1,4.481999874E0,1.400218097E1
2.896130000E0,6.664999962E0,-1.049600029E1,4.826000214E0,1.333711081E1
2.905988154E0,6.473999977E0,-9.883000374E0,5.132999897E0,1.288153951E1
2.915991616E0,6.320000172E0,-9.461999893E0,5.248000145E0,1.253049678E1
2.926457231E0,6.396999836E0,-9.116999626E0,5.132999897E0,1.226331835E1
2.936126000E0,6.626999855E0,-8.810000420E0,4.980000019E0,1.209684400E1
2.946537000E0,6.780000210E0,-8.696000099E0,4.940999985E0,1.208314121E1
2.957151770E0,6.817999840E0,-8.772000313E0,4.710999966E0,1.206758600E1
2.966000000E0,6.664999962E0,-9.039999962E0,4.405000210E0,1.206432139E1
2.976015616E0,6.243999958E0,-9.500000000E0,4.175000191E0,1.211066316E1
2.986427385E0,5.592999935E0,-1.018999958E1,3.983999968E0,1.228779864E1
2.995994154E0,4.710999966E0,-1.110900021E1,3.753999949E0,1.263708518E1
3.006033770E0,3.714999914E0,-1.210499954E1,3.447000027E0,1.312303499E1
3.016193000E0,2.450999975E0,-1.317800045E1,3.026000023E0,1.374131627E1
3.025990462E0,8.420000076E-1,-1.436499977E1,2.680999994E0,1.463727924E1
3.035993616E0,-9.959999919E-1,-1.555300045E1,2.528000116E0,1.578855990E1
3.046010770E0,-3.217000008E0,-1.681699944E1,2.565999985E0,1.731314284E1
3.056000154E0,-5.592999935E0,-1.808099937E1,2.834000111E0,1.913728673E1
3.065998154E0,-7.928999901E0,-1.938400078E1,3.371000051E0,2.121254739E1
3.076153000E0,-1.034300041E1,-2.068600082E1,4.367000103E0,2.353633314E1
3.086057077E0,-1.279500008E1,-2.198900032E1,5.631000042E0,2.605640657E1
3.097493616E0,-1.505500031E1,-2.329100037E1,6.817999840E0,2.855886647E1
3.106195924E0,-1.693199921E1,-2.444000053E1,7.890999794E0,3.076156857E1
3.116070770E0,-1.854100037E1,-2.551300049E1,9.001999855E0,3.279813851E1
3.125996000E0,-2.018799973E1,-2.658600044E1,1.026599979E1,3.492508417E1
3.136020924E0,-2.171999931E1,-2.762000084E1,1.145400047E1,3.695696069E1
3.145998693E0,-2.310000038E1,-2.873100090E1,1.237300014E1,3.888665019E1
3.155999077E0,-2.401899910E1,-2.995700073E1,1.321599960E1,4.060784230E1
3.166008077E0,-2.424900055E1,-3.137400055E1,1.386699963E1,4.200756618E1
3.175999770E0,-2.398100090E1,-3.306000137E1,1.432699966E1,4.328180928E1
3.186014847E0,-2.313800049E1,-3.512799835E1,1.471000004E1,4.456150172E1
3.195993231E0,-2.183499908E1,-3.765700150E1,1.493999958E1,4.602195709E1
3.205999693E0,-1.992000008E1,-4.056800079E1,1.524600029E1,4.769706088E1
3.216851385E0,-1.739200020E1,-4.382500076E1,1.578299999E1,4.972137821E1
3.226000308E0,-1.436499977E1,-4.754000092E1,1.647200012E1,5.232333794E1
3.235993770E0,-1.045800018E1,-5.144800186E1,1.727700043E1,5.526989603E1
3.246151385E0,-5.553999901E0,-5.520199966E1,1.838800049E1,5.844849223E1
3.256403770E0,3.059999943E-1,-5.891799927E1,1.999699974E1,6.221980611E1
3.267468770E0,8.121000290E0,-6.244300079E1,2.218000031E1,6.676100214E1
3.275999616E0,1.689399910E1,-6.527700043E1,2.482299995E1,7.185175932E1
3.285993616E0,2.528300095E1,-6.638800049E1,2.777300072E1,7.627539783E1
3.296003770E0,3.344300079E1,-6.573699951E1,3.018700027E1,7.969342754E1
3.306364924E0,4.118099976E1,-6.336199951E1,3.083799934E1,8.161862488E1
