"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.641625000E-1,1.843591630E-1,7.417463303E0,6.926637173E0,1.015042130E1
4.661645000E-1,1.915419847E-1,7.434223175E0,6.960156918E0,1.018568343E1
4.681665000E-1,2.226675600E-1,7.422251701E0,6.974522591E0,1.018741216E1
4.701685000E-1,2.442160249E-1,7.412674904E0,6.976916790E0,1.018257132E1
4.721705000E-1,3.088614643E-1,7.352818012E0,6.974522591E0,1.013919590E1
4.741725000E-1,3.663240373E-1,7.324086666E0,6.950579643E0,1.010381097E1
4.761745000E-1,3.878725171E-1,7.304932594E0,6.929031372E0,1.007590994E1
4.781765000E-1,4.381522834E-1,7.264229774E0,6.919454098E0,1.004190503E1
4.801721150E-1,4.812492430E-1,7.213950157E0,6.912271500E0,1.000260841E1
4.821737300E-1,5.075862408E-1,7.192401409E0,6.912271500E0,9.988382207E0
4.841757300E-1,5.315290093E-1,7.144515991E0,6.912271500E0,9.955206132E0
4.861777300E-1,5.458946824E-1,7.108602047E0,6.912271500E0,9.930242764E0
4.881797300E-1,5.937801600E-1,7.108602047E0,6.936213970E0,9.949666436E0
4.901703840E-1,6.177229285E-1,7.087053299E0,6.981705189E0,9.967553031E0
4.921723840E-1,6.296942830E-1,7.070293427E0,7.005648136E0,9.973197573E0
4.941743840E-1,6.392713785E-1,7.053533554E0,7.058321953E0,9.999045569E0
4.961763840E-1,6.416656375E-1,7.027196407E0,7.101418972E0,1.001116255E1
4.981783840E-1,6.464542150E-1,6.972128391E0,7.115784645E0,9.983129192E0
5.001803840E-1,6.440598965E-1,6.969734192E0,7.173247337E0,1.002234929E1
5.021823840E-1,6.440598965E-1,6.960156918E0,7.206767082E0,1.003972556E1
5.041843840E-1,6.273000240E-1,6.943397045E0,7.225921154E0,1.004082688E1
5.061863840E-1,6.201171875E-1,6.936213970E0,7.225921154E0,1.003541459E1
5.081883840E-1,6.416656375E-1,6.921848297E0,7.276201248E0,1.006314182E1
5.101903840E-1,6.296942830E-1,6.907482624E0,7.304932594E0,1.007332474E1
5.121923840E-1,5.889915824E-1,6.902694225E0,7.348029613E0,1.009889290E1
5.141943840E-1,5.674431324E-1,6.897905827E0,7.412674904E0,1.014154060E1
5.161963840E-1,5.363175869E-1,6.885934353E0,7.450983047E0,1.015976756E1
